track_id,artist_name,track_name,album_name,album_type,video_title,channel_name,platform,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,mood_category,views,likes,comments,streams,engagement_rate,like_ratio,popularity_score,energy_liveness_ratio,is_licensed,is_official_video
329,Gregory Alan Isakov,San Luis,Evening Machines,album,Gregory Alan Isakov - San Luis (OFFICIAL VIDEO),Gregory Alan Isakov,Spotify,0.567,0.434,-12.755,0.0349,0.86,0.257,0.115,0.254,82.459,272.3,Sad/Mellow,14171267,104705,2333,94282961,0.007553,0.007389,2.78,3.773913043,1,1
330,Beach Weather,Trouble With This Bed,Trouble With This Bed,single,Beach Weather - Trouble With This Bed (Official Video),BeachWeatherVEVO,Spotify,0.648,0.7,-6.253,0.0251,0.196,0.00244,0.121,0.929,92.002,226.9,Happy/Energetic,243484,3823,125,1213451,0.016215,0.015701,0.04,5.785123967,1,1
331,Shweta Mohan,Sirukki Vaasam,Kodi (Original Motion Picture Soundtrack),single,"Kodi - Sirukki Vaasam Tamil Video | Dhanush, Trisha | Santhosh Narayanan",SonyMusicSouthVEVO,Youtube,0.571,0.544,-6.555,0.0507,0.502,0.0,0.0617,0.375,129.869,275.0,Angry/Intense,16211670,65226,1225,8105740,0.004099,0.004023,0.24,8.816855754,1,1
332,PSY,DADDY,PSY 7TH ALBUM,album,PSY - DADDY(feat. CL of 2NE1) M/V,officialpsy,Youtube,0.762,0.869,-3.287,0.13,0.0793,0.0,0.137,0.747,132.05,230.6,Happy/Energetic,669361305,5107045,198024,82676255,0.007926,0.00763,2.44,6.343065693,0,0
333,Kavita Krishnamurthy,Bole Chudiyan,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),album,"Bole Chudiyan Full Video - K3G|Amitabh, Shah Rukh, Kajol, Kareena, Hrithik|Udit Narayan",SonyMusicIndiaVEVO,Youtube,0.59,0.875,-5.294,0.171,0.45,1.16e-05,0.164,0.737,96.915,408.1,Happy/Energetic,763524771,3554382,116387,42519818,0.004808,0.004655,1.26,5.335365854,1,1
334,Sheryl Crow,Real Gone,Cars (Original Motion Picture Soundtrack),compilation,Sheryl Crow   Real Gone,Abdiel Torres,Spotify,0.608,0.785,-5.346,0.0472,0.00173,0.0,0.0762,0.806,117.983,200.7,Happy/Energetic,62974,1156,72,78678163,0.0195,0.018357,2.32,10.30183727,0,0
335,David Bisbal,Diez Mil Maneras,Tú Y Yo,album,David Bisbal - Diez Mil Maneras (pseudo),DavidBisbalVEVO,Spotify,0.651,0.82,-4.642,0.0316,0.321,0.0,0.0921,0.718,153.958,213.1,Happy/Energetic,40048571,148387,3748,94466341,0.003799,0.003705,2.79,8.903365907,1,1
336,Gerardo Ortiz,Dámaso,El Primer Ministro,album,"""Dámaso"" Gerardo Ortiz [Video Oficial]",DylanDelRecords,Spotify,0.579,0.841,-4.073,0.0324,0.314,0.0,0.199,0.964,165.934,159.0,Happy/Energetic,2598377,9877,450,119027394,0.003974,0.003801,3.51,4.226130653,0,0
337,Anuradha Paudwal,Bahut Pyar Karte Hai - Female Version,Saajan (Original Motion Picture Soundtrack),album,Bahut Pyar Karte Hain Tumko Sanam Anuradha Paudwal   Saajan 1080p HD,Dr. B. Srinivas Raju,Spotify,0.452,0.49,-11.685,0.0397,0.658,5.71e-06,0.167,0.724,123.669,265.7,Calm/Positive,4863905,28010,1026,14701995,0.00597,0.005759,0.43,2.934131737,0,0
338,Soundgarden,Rusty Cage - Remastered,Badmotorfinger (25th Anniversary Remaster),album,Soundgarden - Rusty Cage,SoundgardenVEVO,Spotify,0.307,0.917,-7.599,0.0977,1.65e-05,0.00044,0.0566,0.266,101.879,266.2,Angry/Intense,17443332,130930,8999,72578242,0.008022,0.007506,2.14,16.20141343,1,1
339,Mario,I Choose You,D.N.A.,album,"MARIO ""I Choose you""",cmcivantos,Spotify,0.673,0.628,-5.192,0.0683,0.0819,0.0,0.0812,0.708,90.107,263.0,Happy/Energetic,7620642,49874,1806,36820435,0.006782,0.006545,1.09,7.733990148,0,0
340,Bunbury,La chispa adecuada (feat. León Larregui) - MTV Unplugged,MTV Unplugged. El Libro De Las Mutaciones,album,La Chispa Adecuada - Enrique Bunbury Feat.  León Larregui - BUNBURY MTV Unplugged,Enrique Bunbury,Spotify,0.521,0.482,-9.083,0.0291,0.153,0.0,0.75,0.307,115.997,291.1,Sad/Mellow,60847729,244242,6578,86769906,0.004122,0.004014,2.56,0.642666667,1,1
341,Gene Autry,Home On the Range,The Essential Gene Autry,album,Gene Autry - Home Home On The Range,Margriet Askew,Spotify,0.275,0.184,-12.586,0.0296,0.927,0.0,0.146,0.325,98.781,158.5,Sad/Mellow,626539,2930,240,1614314,0.00506,0.004676,0.05,1.260273973,0,0
342,The Wombats,Moving to New York,"Proudly Present... A Guide to Love, Loss & Desperation (Special Edition)",album,The Wombats - Moving To New York [OFFICIAL VIDEO],Roadrunner Records,Spotify,0.252,0.886,-4.679,0.0714,2.92e-05,5.33e-06,0.256,0.498,161.941,210.6,Angry/Intense,1976615,15000,611,98944918,0.007898,0.007589,2.92,3.4609375,1,1
343,Popcaan,Aboboyaa (feat. Burna Boy),Great Is He,album,Popcaan - Aboboyaa ft Burna Boy (Official Video),Popcaan,Youtube,0.634,0.833,-5.1,0.25,0.297,0.0,0.367,0.714,96.881,166.8,Happy/Energetic,1241734,54122,2088,531624,0.045267,0.043586,0.02,2.269754768,1,1
344,Mahalakshmi Iyer,Des Rangila,Fanaa,album,Des Rangila | Full Song | Fanaa | Aamir Khan | Kajol | Mahalaxmi Iyer | Jatin-Lalit | Prasoon Joshi,YRF,Youtube,0.667,0.831,-7.94,0.0937,0.427,0.0,0.336,0.832,106.01,318.1,Happy/Energetic,111915407,631675,18449,5098783,0.005809,0.005644,0.15,2.473214286,1,1
345,Gojira,Born in Winter,L'Enfant Sauvage (Special Edition),album,Gojira - Born In Winter [OFFICIAL VIDEO],Gojira,Spotify,0.59,0.654,-7.85,0.0265,0.0199,0.721,0.107,0.223,127.996,231.0,Angry/Intense,14744574,127413,4481,19006181,0.008945,0.008641,0.56,6.112149533,1,1
346,Benny Sings,The World,The World,single,Benny Sings - The World (official lyric video),Benny Sings,Spotify,0.754,0.515,-9.45,0.0528,0.454,0.000265,0.0853,0.929,94.986,186.5,Happy/Energetic,41208,688,37,1083793,0.017594,0.016696,0.03,6.037514654,1,1
347,George Strait,Roll Me Up and Smoke Me When I Die - Live,Willie Nelson American Outlaw (Live),compilation,Willie Nelson - Roll Me Up and Smoke Me When I Die (Live Version),WillieNelsonVEVO,Spotify,0.427,0.813,-9.02,0.0737,0.0713,0.109,0.873,0.344,106.859,134.3,Angry/Intense,8726124,58294,1658,9999321,0.00687,0.00668,0.3,0.931271478,1,1
348,Bonobo,Fold,Fold,single,Bonobo & Jacques Greene - Fold (Official Audio),Bonobo,Spotify,0.792,0.861,-6.838,0.0476,0.0472,0.838,0.107,0.0888,127.999,335.4,Angry/Intense,46425,2427,88,538571,0.054173,0.052278,0.02,8.046728972,0,1
349,Lily Allen,Fuck You,"It's Not Me, It's You",album,Lily Allen | Fuck You (Official Video - Explicit Version),Lily Allen,Spotify,0.775,0.904,-4.08,0.0437,0.0271,0.000303,0.06,0.84,130.009,219.9,Happy/Energetic,34772353,566431,18559,258387243,0.016823,0.01629,7.63,15.06666667,1,1
350,Gusttavo Lima,Saudade da Minha Vida - Ao Vivo,Saudade da Minha Vida (Ao Vivo),single,Gusttavo Lima - Saudade da Minha Vida (Ao Vivo no Buteco São Paulo),Gusttavo Lima Oficial,Youtube,0.509,0.935,-3.627,0.0709,0.108,0.0,0.907,0.769,158.927,194.8,Happy/Energetic,8907799,71198,2187,1917585,0.008238,0.007993,0.06,1.030871003,0,0
351,LIT killah,Entre Nosotros (Remix) [con Nicki Nicole],Entre Nosotros (Remix) [con Nicki Nicole],single,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole - Entre Nosotros REMIX (Video Oficial)",Tiago PZK,Youtube,0.7,0.438,-5.784,0.0433,0.401,0.0,0.373,0.605,170.106,260.0,Calm/Positive,306858469,2897695,83141,201926628,0.009714,0.009443,5.96,1.174262735,1,1
352,ZZ Top,Jesus Just Left Chicago - 2006 Remaster,Tres Hombres (Expanded 2006 Remaster),album,Jesus Just Left Chicago (2006 Remaster),ZZ Top - Topic,Spotify,0.34,0.598,-9.668,0.0741,0.0853,0.118,0.0969,0.697,215.918,210.3,Happy/Energetic,3648915,45545,169,21702666,0.012528,0.012482,0.64,6.17131063,1,1
353,Lee Brice,One Of Them Girls,Hey World,album,Lee Brice - One of Them Girls (Official Music Video),Lee Brice,Spotify,0.643,0.79,-6.079,0.0461,0.29,0.0,0.107,0.808,95.981,188.9,Happy/Energetic,83258368,393372,4808,244453632,0.004782,0.004725,7.22,7.38317757,1,1
354,Chief Keef,Yes Sir,4NEM,album,"Chief Keef - Yes Sir (Lyrics) ""No Sir""",BangersOnly,Spotify,0.605,0.444,-7.223,0.141,0.0185,0.0,0.297,0.115,172.26,248.4,Sad/Mellow,1754160,32158,644,19018813,0.0187,0.018332,0.56,1.494949495,0,0
355,Don Henley,Taking You Home,Soft Rock For Kids,compilation,Don Henley - Taking You Home (Video),Kacztv,Spotify,0.565,0.511,-7.134,0.0267,0.395,1.36e-05,0.11,0.108,72.35,331.6,Angry/Intense,205109,3227,227,8656408,0.01684,0.015733,0.26,4.645454545,0,0
356,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,album,John Mayer - Free Fallin' (Live at the Nokia Theatre),johnmayerVEVO,Spotify,0.315,0.296,-13.262,0.0315,0.771,0.0,0.702,0.435,173.509,263.6,Sad/Mellow,123586164,548654,20198,474465270,0.004603,0.004439,14.01,0.421652422,1,1
357,Patrick Watson,Love Songs For Robots,Love Songs For Robots,album,Patrick Watson - Love Songs For Robots (Official Video),Domino Recording Co.,Spotify,0.419,0.237,-14.936,0.0334,0.915,0.807,0.123,0.082,117.069,217.6,Sad/Mellow,706018,7201,167,19457528,0.010436,0.010199,0.57,1.926829268,1,1
358,Mambo Kingz,Báilame - Remix,La Criatura,album,"Nacho, Yandel, Bad Bunny - Báilame (Remix)",NachoVEVO,Youtube,0.646,0.865,-4.215,0.0983,0.269,4.16e-06,0.11,0.762,191.954,217.1,Happy/Energetic,954776783,3386775,122023,434414483,0.003675,0.003547,12.83,7.863636364,1,1
359,Elevation Worship,Million Little Miracles (feat. Joe L Barnes),Old Church Basement,album,Million Little Miracles | Elevation Worship & Maverick City,Elevation Worship,Youtube,0.326,0.318,-9.895,0.0307,0.834,0.0,0.0857,0.11,95.431,405.5,Sad/Mellow,37780111,406848,14379,23665703,0.011149,0.010769,0.7,3.710618436,1,1
360,Black Sabbath,Children of the Grave - 2014 Remaster,Master of Reality (2014 Remaster),album,"BLACK SABBATH - ""Children of the Grave"" from The End (Live Video)",Black Sabbath,Youtube,0.318,0.65,-13.928,0.0375,0.0802,0.132,0.0962,0.368,149.994,317.2,Angry/Intense,12615955,84604,3042,0,0.006947,0.006706,0.0,6.756756757,0,1
361,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,album,Gunna - DOLLAZ ON MY HEAD (feat. Young Thug) [Official Video],Gunna,Spotify,0.825,0.458,-7.47,0.0577,0.114,0.0,0.102,0.161,145.115,197.8,Sad/Mellow,35342541,441124,8429,320208901,0.01272,0.012481,9.46,4.490196078,1,1
362,Ofenbach,Shivers - Ofenbach Remix,Shivers (Ofenbach Remix),single,Ed Sheeran “Shivers” Ofenbach Remix (Official Audio),Ofenbach,Spotify,0.861,0.832,-3.35,0.0457,0.0119,0.0,0.0461,0.917,126.989,187.2,Happy/Energetic,2331631,14327,166,48597705,0.006216,0.006145,1.44,18.04772234,1,1
363,Øneheart,distorted memories,distorted memories,single,øneheart x reidenshi - distorted memories,dreamscape,Spotify,0.382,0.222,-24.021,0.0325,0.929,0.901,0.0863,0.212,75.048,110.6,Sad/Mellow,222165,9299,176,7321142,0.042648,0.041856,0.22,2.572421784,1,1
364,Matisse,Como Lo Hice Yo,Así de Enamorados,album,"Matisse, Carin Leon - Como Lo Hice Yo (Video Oficial)",MatisseMXVEVO,Spotify,0.69,0.662,-4.537,0.043,0.38,1.11e-06,0.0998,0.488,143.096,177.1,Angry/Intense,106959372,606647,6484,189464651,0.005732,0.005672,5.59,6.633266533,1,1
365,Babasónicos,Irresponsables,Infame,album,Babasónicos - Irresponsables (video oficial) [HD],PopArt Discos,Spotify,0.58,0.929,-4.849,0.0388,0.0629,0.000223,0.23,0.884,94.995,156.2,Happy/Energetic,2751787,25194,937,110774267,0.009496,0.009156,3.27,4.039130435,1,1
366,Mobb Deep,"Shook Ones, Pt. II - Instrumental",The Infamous - 25th Anniversary Expanded Edition,album,"Mobb Deep - Shook Ones, Pt. II (Instrumental - Official Audio)",MobbDeepVEVO,Spotify,0.718,0.778,-6.701,0.0451,0.000815,0.855,0.042,0.642,93.961,276.6,Happy/Energetic,121056,4108,166,3183499,0.035306,0.033935,0.09,18.52380952,1,1
367,James Hype,Ferrari - D1MA Remix,Ferrari (D1MA Remix),single,Ferrari (D1MA Remix),James Hype - Topic,Spotify,0.843,0.672,-5.557,0.142,0.0765,0.0,0.0993,0.706,124.912,172.0,Happy/Energetic,78165,1117,22,1525458,0.014572,0.01429,0.05,6.767371601,1,1
368,Duster,Inside Out,Stratosphere,album,Duster - Inside out,Alwaysbaggyjeans,Spotify,0.553,0.465,-9.664,0.0301,0.84,0.97,0.102,0.652,79.223,141.0,Calm/Positive,679228,24703,1686,82738218,0.038851,0.036369,2.44,4.558823529,0,0
369,Nko,Te Quiero,PAIN,album,VALE PAIN - Te Quiero (Official Video),ValePain Official,Spotify,0.836,0.567,-9.116,0.155,0.118,0.0,0.109,0.89,133.989,163.6,Happy/Energetic,3854003,33861,644,19008770,0.008953,0.008786,0.56,5.201834862,1,1
370,Anitta,Ai Papai,Ai Papai,single,Anitta feat Mc Danny e Hitmaker - AI PAPAI [Official Lyric Video],Anitta,Spotify,0.73,0.966,-1.794,0.0619,0.081,7.93e-05,0.0946,0.891,168.091,148.0,Happy/Energetic,14980040,187117,6301,26896009,0.012912,0.012491,0.79,10.21141649,1,1
371,Waylon Jennings,American Remains,Highwayman 2,album,The Highwaymen - American Remains,phoenixkelser,Spotify,0.684,0.495,-13.877,0.0422,0.47,6.98e-05,0.157,0.528,101.999,247.0,Calm/Positive,5249475,28501,168,36940149,0.005461,0.005429,1.09,3.152866242,0,0
372,"Héctor ""El Father""",Tu Quieres Duro,Mi Trayectoria,album,Hector ''El Father'' - Tu Quieres Dúro (Video),HectorElFatherTV,Spotify,0.802,0.873,-5.698,0.054,0.275,3.12e-06,0.308,0.0933,95.0,218.1,Angry/Intense,262284,2161,58,11136162,0.00846,0.008239,0.33,2.834415584,0,0
373,Sleepy Hallow,Die Young (feat. 347aidan),Die Young (feat. 347aidan),single,Sleepy Hallow - Die Young (Official Video) ft. 347aidan,SleepyHallowVEVO,Spotify,0.808,0.582,-6.26,0.338,0.827,0.0,0.111,0.675,77.471,148.8,Happy/Energetic,18795239,302536,5791,133126327,0.016405,0.016096,3.93,5.243243243,1,1
374,Andrés Cepeda,Lo Que Había Olvidado,Lo Que Había Olvidado,single,Andrés Cepeda - Lo Que Había Olvidado (Video Oficial),AndresCepedaVEVO,Youtube,0.582,0.814,-4.471,0.0362,0.126,0.0,0.51,0.461,91.946,178.7,Angry/Intense,5639690,40649,764,4847818,0.007343,0.007208,0.14,1.596078431,1,1
375,Himesh Reshammiya,Jhalak Dikhla Ja,Aksar,album,Jhalak Dikhla Ja Full Song (HD) Aksar | Emraan Hashmi,T-Series,Youtube,0.688,0.737,-10.051,0.0443,0.015,0.00025,0.0599,0.635,110.969,317.6,Happy/Energetic,243322920,1126162,42411,13762657,0.004803,0.004628,0.41,12.30383973,1,1
376,Los Yonic's,Títere,Pero No Me Dejes,album,Los Yonic's - Titere,Vatos Tv MX,Spotify,0.49,0.479,-7.85,0.0306,0.824,0.000523,0.765,0.373,74.819,186.0,Sad/Mellow,32725,392,35,23691147,0.013048,0.011979,0.7,0.626143791,0,0
